;;;
;;;
;;;
;;;
;;;
PIN PSX;COR;INFO.;ARDUINO LEONARDO
1;MARROM;DAT;11
2;LARANJA;CMD;10
3;CINZA;VIBRA;-
4;PRETO;GND;GND
5;VERMELHO;VCC;3.3V
6;AMARELO;ATT/SEL;9
7;AZUL;CLK;12
8;BRANCO;-;-
9;VERDE;-;-
